              x            q_h            q_r            q_m         N_drop
    0.54011E-02    0.12091E+06    0.68451E+02    0.25328E+05     1
    0.10802E-01    0.11120E+06    0.62459E+02    0.23247E+05     1
    0.16203E-01    0.10309E+06    0.57549E+02    0.21517E+05     1
    0.21604E-01    0.95989E+05    0.53306E+02    0.20008E+05     1
    0.27005E-01    0.89629E+05    0.49545E+02    0.18660E+05     1
    0.32406E-01    0.84314E+05    0.46295E+02    0.17530E+05     1
    0.37808E-01    0.79462E+05    0.43352E+02    0.16501E+05     1
    0.43209E-01    0.75005E+05    0.40668E+02    0.15557E+05     1
    0.48610E-01    0.70896E+05    0.38212E+02    0.14689E+05     1
    0.54011E-01    0.67095E+05    0.35955E+02    0.13887E+05     1
    0.59412E-01    0.63770E+05    0.33943E+02    0.13184E+05     1
    0.64813E-01    0.60691E+05    0.32091E+02    0.12535E+05     1
    0.70214E-01    0.57837E+05    0.30382E+02    0.11933E+05     1
    0.75615E-01    0.55192E+05    0.28805E+02    0.11376E+05     1
    0.81016E-01    0.52740E+05    0.27350E+02    0.10860E+05     1
    0.86417E-01    0.50610E+05    0.26058E+02    0.10411E+05     1
    0.91818E-01    0.48649E+05    0.24870E+02    0.99970E+04     1
    0.97219E-01    0.46847E+05    0.23778E+02    0.96168E+04     1
    0.10262E+00    0.45196E+05    0.22776E+02    0.92685E+04     1
    0.10802E+00    0.43689E+05    0.21859E+02    0.89502E+04     1
    0.11342E+00    0.42394E+05    0.21050E+02    0.86757E+04     1
    0.11882E+00    0.41233E+05    0.20317E+02    0.84290E+04     1
    0.12422E+00    0.40202E+05    0.19656E+02    0.82092E+04     1
    0.12963E+00    0.39297E+05    0.19064E+02    0.80155E+04     1
    0.13503E+00    0.38515E+05    0.18537E+02    0.78471E+04     1
    0.14043E+00    0.37876E+05    0.18083E+02    0.77080E+04     1
    0.14583E+00    0.37359E+05    0.17689E+02    0.75936E+04     1
    0.15123E+00    0.36962E+05    0.17356E+02    0.75037E+04     1
    0.15663E+00    0.36687E+05    0.17081E+02    0.74382E+04     1
    0.16203E+00    0.36533E+05    0.16863E+02    0.73974E+04     1
    0.16743E+00    0.36447E+05    0.16679E+02    0.73701E+04     1
    0.17283E+00    0.36483E+05    0.16551E+02    0.73673E+04     1
    0.17824E+00    0.36645E+05    0.16477E+02    0.73894E+04     1
    0.18364E+00    0.36937E+05    0.16458E+02    0.74371E+04     1
    0.18904E+00    0.37363E+05    0.16493E+02    0.75112E+04     1
    0.19444E+00    0.37763E+05    0.16522E+02    0.75802E+04     1
    0.19984E+00    0.38298E+05    0.16604E+02    0.76753E+04     1
    0.20524E+00    0.38972E+05    0.16739E+02    0.77974E+04     1
    0.21064E+00    0.39793E+05    0.16929E+02    0.79479E+04     1
    0.21604E+00    0.40770E+05    0.17176E+02    0.81281E+04     1
    0.22144E+00    0.41651E+05    0.17385E+02    0.82891E+04     1
    0.22685E+00    0.42685E+05    0.17648E+02    0.84792E+04     1
    0.23225E+00    0.43881E+05    0.17967E+02    0.87000E+04     1
    0.23765E+00    0.45250E+05    0.18343E+02    0.89533E+04     1
    0.24305E+00    0.46805E+05    0.18780E+02    0.92411E+04     1
    0.24845E+00    0.48080E+05    0.19112E+02    0.94740E+04     1
    0.25385E+00    0.49525E+05    0.19498E+02    0.97386E+04     1
    0.25925E+00    0.51153E+05    0.19942E+02    0.10037E+05     1
    0.26465E+00    0.52974E+05    0.20445E+02    0.10370E+05     1
    0.27005E+00    0.55003E+05    0.21009E+02    0.10742E+05     1
    0.27546E+00    0.56574E+05    0.21410E+02    0.11025E+05     1
    0.28086E+00    0.58326E+05    0.21865E+02    0.11340E+05     1
    0.28626E+00    0.60270E+05    0.22376E+02    0.11691E+05     1
    0.29166E+00    0.62419E+05    0.22945E+02    0.12078E+05     1
    0.29706E+00    0.64786E+05    0.23574E+02    0.12503E+05     1
    0.30246E+00    0.66504E+05    0.23983E+02    0.12805E+05     1
    0.30786E+00    0.68404E+05    0.24444E+02    0.13140E+05     1
    0.31326E+00    0.70495E+05    0.24957E+02    0.13509E+05     1
    0.31866E+00    0.72790E+05    0.25524E+02    0.13912E+05     1
    0.32406E+00    0.75296E+05    0.26146E+02    0.14353E+05     1
    0.32947E+00    0.76866E+05    0.26472E+02    0.14620E+05     1
    0.33487E+00    0.78600E+05    0.26844E+02    0.14915E+05     1
    0.34027E+00    0.80505E+05    0.27261E+02    0.15240E+05     1
    0.34567E+00    0.82586E+05    0.27723E+02    0.15596E+05     1
    0.35107E+00    0.84848E+05    0.28231E+02    0.15982E+05     1
    0.35647E+00    0.86069E+05    0.28428E+02    0.16179E+05     1
    0.36187E+00    0.87429E+05    0.28662E+02    0.16400E+05     1
    0.36727E+00    0.88930E+05    0.28935E+02    0.16646E+05     1
    0.37267E+00    0.90576E+05    0.29245E+02    0.16916E+05     1
    0.37808E+00    0.92363E+05    0.29591E+02    0.17211E+05     1
    0.38348E+00    0.92920E+05    0.29586E+02    0.17286E+05     1
    0.38888E+00    0.93586E+05    0.29613E+02    0.17380E+05     1
    0.39428E+00    0.94361E+05    0.29671E+02    0.17493E+05     1
    0.39968E+00    0.95242E+05    0.29759E+02    0.17625E+05     1
    0.40508E+00    0.96225E+05    0.29874E+02    0.17775E+05     1
    0.41048E+00    0.95932E+05    0.29640E+02    0.17699E+05     1
    0.41588E+00    0.95726E+05    0.29433E+02    0.17640E+05     1
    0.42128E+00    0.95602E+05    0.29253E+02    0.17595E+05     1
    0.42669E+00    0.95558E+05    0.29098E+02    0.17565E+05     1
    0.43209E+00    0.95585E+05    0.28964E+02    0.17549E+05     1
    0.43749E+00    0.94487E+05    0.28530E+02    0.17335E+05     1
    0.44289E+00    0.93464E+05    0.28122E+02    0.17135E+05     1
    0.44829E+00    0.92511E+05    0.27738E+02    0.16948E+05     1
