              x            V_x       T_tunnel         y_drop         T_drop         N_drop
    0.00000E+00    0.10000E+01    0.26563E+03    0.00000E+00    0.28300E+03     1
    0.54011E-02    0.40594E+02    0.26559E+03   -0.17836E-06    0.28054E+03     1
    0.10802E-01    0.47251E+02    0.26558E+03   -0.41805E-06    0.27931E+03     1
    0.16203E-01    0.51107E+02    0.26557E+03   -0.70306E-06    0.27830E+03     1
    0.21604E-01    0.53712E+02    0.26557E+03   -0.10288E-05    0.27742E+03     1
    0.27005E-01    0.55622E+02    0.26556E+03   -0.13930E-05    0.27663E+03     1
    0.32406E-01    0.57140E+02    0.26553E+03   -0.17936E-05    0.27591E+03     1
    0.37808E-01    0.58432E+02    0.26549E+03   -0.22282E-05    0.27525E+03     1
    0.43209E-01    0.59562E+02    0.26546E+03   -0.26942E-05    0.27464E+03     1
    0.48610E-01    0.60572E+02    0.26542E+03   -0.31895E-05    0.27408E+03     1
    0.54011E-01    0.61492E+02    0.26538E+03   -0.37122E-05    0.27356E+03     1
    0.59412E-01    0.62357E+02    0.26532E+03   -0.42603E-05    0.27307E+03     1
    0.64813E-01    0.63195E+02    0.26526E+03   -0.48311E-05    0.27261E+03     1
    0.70214E-01    0.64013E+02    0.26520E+03   -0.54223E-05    0.27217E+03     1
    0.75615E-01    0.64818E+02    0.26514E+03   -0.60314E-05    0.27177E+03     1
    0.81016E-01    0.65613E+02    0.26508E+03   -0.66562E-05    0.27138E+03     1
    0.86417E-01    0.66414E+02    0.26500E+03   -0.72944E-05    0.27102E+03     1
    0.91818E-01    0.67233E+02    0.26491E+03   -0.79436E-05    0.27068E+03     1
    0.97219E-01    0.68071E+02    0.26483E+03   -0.86010E-05    0.27035E+03     1
    0.10262E+00    0.68930E+02    0.26474E+03   -0.92645E-05    0.27004E+03     1
    0.10802E+00    0.69809E+02    0.26464E+03   -0.99319E-05    0.26975E+03     1
    0.11342E+00    0.70717E+02    0.26454E+03   -0.10601E-04    0.26946E+03     1
    0.11882E+00    0.71659E+02    0.26443E+03   -0.11270E-04    0.26919E+03     1
    0.12422E+00    0.72635E+02    0.26431E+03   -0.11937E-04    0.26893E+03     1
    0.12963E+00    0.73646E+02    0.26419E+03   -0.12600E-04    0.26868E+03     1
